"","CAD CDW ID","CAD Event Number","General Offense Number","Event Clearance Code","Event Clearance Description","Event Clearance SubGroup","Event Clearance Group","Event Clearance Date","Hundred Block Location","District/Sector","Zone/Beat","Census Tract","Longitude","Latitude","Incident Location","Initial Type Description","Initial Type Subgroup","Initial Type Group","At Scene Time","dist_mgh"
"28","47323",4.94080095976817e-314,9.93216449496607e-315,"65","THEFT - MISCELLANEOUS","THEFT","OTHER PROPERTY","08/21/2010 01:23:00 PM","38XX BLOCK OF MONTLAKE BLVD NE","U","U2","5302.3000",-122.302931725,47.653002027,"(47.653002027, -122.302931725)","","","","",0.00544986159295662
"29","48753",4.94080207783872e-314,9.93217567567164e-315,"245","DISTURBANCE, OTHER","DISTURBANCES","DISTURBANCES","08/23/2010 02:42:00 PM","XX BLOCK OF NE CAMPUS PKY","U","U2","5302.1007",-122.313846364,47.65599383,"(47.65599383, -122.313846364)","","","","",0.00593681374757802
"30","49137",4.94080237279591e-314,9.93217862524354e-315,"62","BICYCLE THEFT","THEFT","BIKE","08/23/2010 10:45:00 PM","41XX BLOCK OF UNIVERSITY WAY NE","U","U2","5301.4000",-122.313226588,47.657574535,"(47.657574535, -122.313226588)","","","","",0.00582127925941428
"31","49492",4.94080255312988e-314,9.93218042858315e-315,"280","SUSPICIOUS PERSON","SUSPICIOUS CIRCUMSTANCES","SUSPICIOUS CIRCUMSTANCES","08/24/2010 09:02:00 AM","14XX BLOCK OF NE 42ND ST","U","U2","5302.3003",-122.312639209,47.658308155,"(47.658308155, -122.312639209)","","","","",0.00568655979514155
"32","52031",4.94080431299171e-314,9.93219802720146e-315,"281","SUSPICIOUS VEHICLE","SUSPICIOUS CIRCUMSTANCES","SUSPICIOUS CIRCUMSTANCES","08/27/2010 01:05:00 AM","41XX BLOCK OF UNIVERSITY WAY NE","U","U2","5302.1000",-122.313226588,47.657574535,"(47.657574535, -122.313226588)","","","","",0.00582127925941428
"33","52603",4.94080476012112e-314,9.93220249849555e-315,"245","DISTURBANCE, OTHER","DISTURBANCES","DISTURBANCES","08/27/2010 07:04:00 PM","XX BLOCK OF 15TH AVE NE","U","U2","5302.1008",-122.312131457,47.65609051,"(47.65609051, -122.312131457)","","","","",0.00427601463105893
"34","56553",4.94080746018987e-314,9.9322294991831e-315,"460","TRAFFIC (MOVING) VIOLATION","TRAFFIC RELATED CALLS","TRAFFIC RELATED CALLS","09/01/2010 08:37:00 AM","38XX BLOCK OF MONTLAKE BLVD NE","U","U2","5302.3000",-122.302931725,47.653002027,"(47.653002027, -122.302931725)","","","","",0.00544986159295662
"35","57410",4.94080814545892e-314,9.9322363518736e-315,"460","TRAFFIC (MOVING) VIOLATION","TRAFFIC RELATED CALLS","TRAFFIC RELATED CALLS","09/02/2010 08:17:00 AM","38XX BLOCK OF MONTLAKE BLVD NE","U","U2","5302.3000",-122.302931725,47.653002027,"(47.653002027, -122.302931725)","","","","",0.00544986159295662
"36","61723",4.94081118643297e-314,9.93226676161411e-315,"460","TRAFFIC (MOVING) VIOLATION","TRAFFIC RELATED CALLS","TRAFFIC RELATED CALLS","09/07/2010 08:07:00 AM","38XX BLOCK OF MONTLAKE BLVD NE","U","U2","5302.3000",-122.302931725,47.653002027,"(47.653002027, -122.302931725)","","","","",0.00544986159295662
"37","62213",4.94081155154748e-314,9.93227041275923e-315,"280","SUSPICIOUS PERSON","SUSPICIOUS CIRCUMSTANCES","SUSPICIOUS CIRCUMSTANCES","09/07/2010 07:45:00 PM","XX BLOCK OF 15TH AVE NE","U","U2","5302.1008",-122.312131457,47.65609051,"(47.65609051, -122.312131457)","","","","",0.00427601463105893
"38","66006",4.94081417602419e-314,9.93229665752634e-315,"161","TRESPASS","TRESPASS","TRESPASS","09/11/2010 10:00:00 PM","XX BLOCK OF NE CAMPUS PKY","U","U2","5302.1008",-122.312702352,47.65598152,"(47.65598152, -122.312702352)","","","","",0.00480882256632042
"39","66622",4.94081462957646e-314,9.93230119304896e-315,"62","BICYCLE THEFT","THEFT","BIKE","09/12/2010 07:11:00 PM","40XX BLOCK OF 15TH AVE NE","U","U2","5302.1008",-122.312142641,47.655657765,"(47.655657765, -122.312142641)","","","","",0.00420160216775518
"40","70767",4.94081766610392e-314,9.93233155832356e-315,"31","STRONG ARM ROBBERY","ROBBERY","ROBBERY","09/17/2010 05:18:00 PM","38XX BLOCK OF 15TH AVE NE","U","U2","5302.2003",-122.312178882,47.654136805,"(47.654136805, -122.312178882)","","","","",0.00428765986640143
"41","72844",4.94081923080982e-314,9.93234720538256e-315,"280","SUSPICIOUS PERSON","SUSPICIOUS CIRCUMSTANCES","SUSPICIOUS CIRCUMSTANCES","09/20/2010 12:39:00 PM","40XX BLOCK OF UNIVERSITY WAY NE","U","U2","5302.1001",-122.313254124,47.65652481,"(47.65652481, -122.313254124)","","","","",0.00547295159922684
"42","73545",4.94081968139769e-314,9.93235171126125e-315,"220","MENTAL COMPLAINT","MENTAL CALL","MENTAL HEALTH","09/21/2010 05:48:00 AM","14XX BLOCK OF NE 42ND ST","U","U2","5302.3003",-122.312639209,47.658308155,"(47.658308155, -122.312639209)","","","","",0.00568655979514155
"43","74918",4.94082076191925e-314,9.93236251647693e-315,"465","PEDESTRIAN VIOLATION","TRAFFIC RELATED CALLS","TRAFFIC RELATED CALLS","09/22/2010 08:02:00 PM","41XX BLOCK OF 15TH AVE NE","U","U2","5302.3003",-122.312090753,47.657560465,"(47.657560465, -122.312090753)","","","","",0.00481701342756495
"44","75006",4.94082076389552e-314,9.93236253623955e-315,"460","TRAFFIC (MOVING) VIOLATION","TRAFFIC RELATED CALLS","TRAFFIC RELATED CALLS","09/22/2010 08:11:00 PM","41XX BLOCK OF UNIVERSITY WAY NE","U","U2","5302.1000",-122.313226588,47.657574535,"(47.657574535, -122.313226588)","","","","",0.00582127925941428
"45","77316",4.94082249164308e-314,9.93237981371519e-315,"177","LIQUOR VIOLATION - INTOXICATED PERSON","LIQUOR VIOLATIONS","LIQUOR VIOLATIONS","09/25/2010 07:49:00 PM","41XX BLOCK OF UNIVERSITY WAY NE","U","U2","5301.4001",-122.313226588,47.657574535,"(47.657574535, -122.313226588)","","","","",0.00582127925941428
"46","79398",4.94082368975227e-314,9.9323917948071e-315,"430","ACCIDENT INVESTIGATION","TRAFFIC RELATED CALLS","ACCIDENT INVESTIGATION","09/28/2010 12:30:00 AM","43XX BLOCK OF MEMORIAL WAY NE","U","U2","5301.1007",-122.309730529,47.660512744,"(47.660512744, -122.309730529)","","","","",0.00574566925949069
"47","79998",4.94082437996198e-314,9.93239869690417e-315,"470","PARKING VIOLATION (EXCEPT ABANDONED VEHICLES)","PARKING VIOLATIONS","TRAFFIC RELATED CALLS","09/28/2010 08:42:00 PM","14XX BLOCK OF NE 41ST ST","U","U2","5301.4000",-122.312678031,47.656826908,"(47.656826908, -122.312678031)","","","","",0.00502055412036352
"48","80041",4.94082425644557e-314,9.93239746174006e-315,"372","PROPERTY - FOUND (FOLLOW UP TO SPD CASE)","PROPERTY - MISSING, FOUND","PROPERTY - MISSING, FOUND","09/28/2010 09:25:00 PM","38XX BLOCK OF MONTLAKE BLVD NE","U","U2","5302.3000",-122.302931725,47.653002027,"(47.653002027, -122.302931725)","","","","",0.00544986159295662
"49","80144",4.94082442887448e-314,9.93239918602916e-315,"460","TRAFFIC (MOVING) VIOLATION","TRAFFIC RELATED CALLS","TRAFFIC RELATED CALLS","09/28/2010 09:56:00 PM","41XX BLOCK OF 15TH AVE NE","U","U2","5302.3003",-122.312090753,47.657560465,"(47.657560465, -122.312090753)","","","","",0.00481701342756495
"50","81236",4.94082528064365e-314,9.9324077037209e-315,"430","ACCIDENT INVESTIGATION","TRAFFIC RELATED CALLS","ACCIDENT INVESTIGATION","09/30/2010 11:09:00 AM","14XX BLOCK OF NE 40TH ST","U","U2","5302.1008",-122.312716816,47.655346936,"(47.655346936, -122.312716816)","","","","",0.00473989460283999
"51","81583",4.94082551927736e-314,9.93241009005796e-315,"415","BLOCKING VEHICLE","TRAFFIC RELATED CALLS","TRAFFIC RELATED CALLS","09/30/2010 04:40:00 PM","38XX BLOCK OF MONTLAKE BLVD NE","U","U2","5302.3000",-122.302931725,47.653002027,"(47.653002027, -122.302931725)","","","","",0.00544986159295662
"52","81665",4.94082565415728e-314,9.93241143885718e-315,"184","NARCOTICS, OTHER","NARCOTICS COMPLAINTS","NARCOTICS COMPLAINTS","09/30/2010 08:09:00 PM","41XX BLOCK OF UNIVERSITY WAY NE","U","U2","5302.1000",-122.313226588,47.657574535,"(47.657574535, -122.313226588)","","","","",0.00582127925941428
"53","83433",4.94082685621899e-314,9.93242345947434e-315,"430","ACCIDENT INVESTIGATION","TRAFFIC RELATED CALLS","ACCIDENT INVESTIGATION","10/02/2010 04:51:00 PM","17XX BLOCK OF NE PACIFIC ST","U","U2","5302.2000",-122.309118314,47.65130139,"(47.65130139, -122.309118314)","","","","",0.00390411650167963
"54","84093",4.9408273695532e-314,9.9324285928164e-315,"350","HAZARDS","HAZARDS","HAZARDS","10/03/2010 01:48:00 PM","15XX BLOCK OF NE PACIFIC ST","U","U2","5302.3003",-122.311532211,47.652527343,"(47.652527343, -122.311532211)","","","","",0.00434418227128654
"55","84404",4.94082753506519e-314,9.93243024793631e-315,"460","TRAFFIC (MOVING) VIOLATION","TRAFFIC RELATED CALLS","TRAFFIC RELATED CALLS","10/03/2010 08:17:00 PM","43XX BLOCK OF MEMORIAL WAY NE","U","U2","5301.1007",-122.309730529,47.660512744,"(47.660512744, -122.309730529)","","","","",0.00574566925949069
"56","84706",4.94082773812617e-314,9.93243227854612e-315,"460","TRAFFIC (MOVING) VIOLATION","TRAFFIC RELATED CALLS","TRAFFIC RELATED CALLS","10/04/2010 06:16:00 AM","38XX BLOCK OF MONTLAKE BLVD NE","U","U2","5302.3000",-122.302931725,47.653002027,"(47.653002027, -122.302931725)","","","","",0.00544986159295662
"57","85081",4.94082795798538e-314,9.93243447713824e-315,"280","SUSPICIOUS PERSON","SUSPICIOUS CIRCUMSTANCES","SUSPICIOUS CIRCUMSTANCES","10/04/2010 02:37:00 PM","41XX BLOCK OF UNIVERSITY WAY NE","U","U2","5301.4001",-122.313226588,47.657574535,"(47.657574535, -122.313226588)","","","","",0.00582127925941428
"58","86623",4.94082953306666e-314,9.93245022795103e-315,"460","TRAFFIC (MOVING) VIOLATION","TRAFFIC RELATED CALLS","TRAFFIC RELATED CALLS","10/06/2010 11:38:00 PM","17XX BLOCK OF NE PACIFIC ST","U","U2","5302.3003",-122.309118314,47.65130139,"(47.65130139, -122.309118314)","","","","",0.00390411650167963
"59","86887",4.94082952911414e-314,9.93245018842578e-315,"281","SUSPICIOUS VEHICLE","SUSPICIOUS CIRCUMSTANCES","SUSPICIOUS CIRCUMSTANCES","10/06/2010 10:05:00 PM","41XX BLOCK OF UNIVERSITY WAY NE","U","U2","5301.3009",-122.313226588,47.657574535,"(47.657574535, -122.313226588)","","","","",0.00582127925941428
